           1      1.0921      1.0921           0
           2     1.09794     1.09502  0.00292029
           3     1.06674     1.08559  0.00957531
           4     1.09547     1.08806  0.00720687
           5     1.07201     1.08485  0.00643973
           6     1.04498      1.0782  0.00847384
           7     1.07527     1.07779  0.00717394
           8     1.10283     1.08092  0.00695682
           9     1.12725     1.08606  0.00800893
          10     1.12737     1.09019  0.00826879
          11     1.13309     1.09409  0.00843519
          12     1.09957     1.09455  0.00771376
          13     1.07683     1.09319  0.00722542
          14     1.09571     1.09337  0.00669186
          15       1.141     1.09654  0.00699258
          16     1.12985     1.09862  0.00686419
          17     1.11395     1.09953  0.00651052
          18     1.07607     1.09822  0.00627497
          19     1.11504     1.09911  0.00600114
          20     1.09396     1.09885    0.005699
          21     1.14276     1.10094  0.00581007
          22     1.12112     1.10186  0.00561512
          23     1.04218     1.09926  0.00595988
          24     1.10043     1.09931  0.00570636
          25     1.08413     1.09871  0.00550692
          26     1.09663     1.09863  0.00529148
          27     1.13036      1.0998  0.00522559
          28     1.08767     1.09937  0.00505409
          29     1.07658     1.09858  0.00493961
          30     1.15169     1.10035  0.00508992
          31     1.09391     1.10014  0.00492737
          32     1.09541         1.1   0.0047732
          33      1.0865     1.09959  0.00464434
          34     1.11862     1.10015  0.00454032
          35     1.08402     1.09969   0.0044327
          36     1.07066     1.09888  0.00438261
          37     1.12027     1.09946  0.00430153
          38     1.13765     1.10046  0.00430574
          39     1.11573     1.10085  0.00421211
          40     1.08064     1.10035  0.00413645
          41     1.05534     1.09925  0.00418096
          42     1.11206     1.09956  0.00409159
          43      1.0998     1.09956   0.0039953
          44     1.12427     1.10012  0.00394362
          45     1.11927     1.10055   0.0038784
          46     1.09471     1.10042  0.00379527
          47      1.0951     1.10031  0.00371537
          48     1.12973     1.10092  0.00368844
          49     1.15513     1.10203  0.00377799
          50     1.13076      1.1026    0.003746
