           1   0.0128248           0
           1   0.0384745           0
           1   0.0641241           0
           1   0.0897737           0
           1    0.115423           0
           1    0.141073           0
           1    0.166723           0
           1    0.192372           0
           1    0.218022           0
           1    0.243672           0
           1    0.269321           0
           1    0.294971           0
           1     0.32062           0
           1     0.34627           0
           1     0.37192           0
           1    0.397569           0
           1    0.423219           0
           1    0.448869           0
           1    0.474518           0
           1    0.500168           0
           1    0.525818           0
           1    0.551467           0
           1    0.577117           0
           1    0.602767           0
           1    0.628416           0
           1    0.654066           0
           1    0.679715           0
           1    0.705365           0
           1    0.731015           0
           1    0.756664           0
           1    0.782314           0
           1    0.807964           0
           1    0.833613           0
           1    0.859263           0
           1    0.884913           0
           1    0.910562   0.0138579
           1    0.936212    0.190081
           1    0.961861    0.558865
           1    0.987511     1.20329
           1     1.01316     1.81055
           1     1.03881     2.68984
           1     1.06446     2.79628
           1     1.09011     2.72426
           1     1.11576     2.47239
           1     1.14141     2.08471
           1     1.16706     1.74944
           1     1.19271     1.68308
           1     1.21836     1.36043
           1     1.24401     1.32161
           1     1.26966     1.21886
           1     1.29531     1.09916
           1     1.32096    0.942475
           1     1.34661    0.812659
           1     1.37226    0.797056
           1     1.39791     0.72177
           1     1.42355    0.754113
           1      1.4492    0.736546
           1     1.47485    0.748788
           1      1.5005    0.743822
           1     1.52615    0.701763
           1      1.5518    0.789696
           1     1.57745    0.734209
           1      1.6031    0.767351
           1     1.62875    0.788852
           1      1.6544    0.813385
           1     1.68005    0.688493
           1      1.7057    0.766184
           1     1.73135    0.803066
           1       1.757    0.841671
           1     1.78265    0.844743
           1      1.8083    0.918901
           1     1.83395     0.99715
           1      1.8596    0.966094
           1     1.88525     1.02687
           1      1.9109    0.998309
           1     1.93655    0.999232
           1      1.9622     1.14078
           1     1.98785     1.18204
           1      2.0135     1.13972
           1     2.03915     1.21693
           1      2.0648     1.17543
           1     2.09045     1.17667
           1      2.1161     1.19675
           1     2.14174     1.23057
           1     2.16739     1.13986
           1     2.19304     1.16203
           1     2.21869     1.10672
           1     2.24434     1.07986
           1     2.26999     1.06089
           1     2.29564     1.03786
           1     2.32129    0.994526
           1     2.34694     1.02949
           1     2.37259    0.904526
           1     2.39824      0.9145
           1     2.42389     0.92874
           1     2.44954    0.913701
           1     2.47519    0.877983
           1     2.50084      0.9037
           1     2.52649    0.880494
           1     2.55214    0.927276
           2   0.0128248           0
           2   0.0384745           0
           2   0.0641241           0
           2   0.0897737           0
           2    0.115423           0
           2    0.141073           0
           2    0.166723           0
           2    0.192372           0
           2    0.218022           0
           2    0.243672           0
           2    0.269321           0
           2    0.294971           0
           2     0.32062           0
           2     0.34627           0
           2     0.37192           0
           2    0.397569           0
           2    0.423219           0
           2    0.448869           0
           2    0.474518           0
           2    0.500168           0
           2    0.525818           0
           2    0.551467           0
           2    0.577117           0
           2    0.602767           0
           2    0.628416           0
           2    0.654066           0
           2    0.679715           0
           2    0.705365           0
           2    0.731015           0
           2    0.756664           0
           2    0.782314           0
           2    0.807964           0
           2    0.833613           0
           2    0.859263           0
           2    0.884913           0
           2    0.910562   0.0207868
           2    0.936212    0.172056
           2    0.961861    0.553431
           2    0.987511     1.23937
           2     1.01316      1.8805
           2     1.03881     2.72578
           2     1.06446     2.77537
           2     1.09011     2.62817
           2     1.11576      2.4199
           2     1.14141     2.10896
           2     1.16706     1.83064
           2     1.19271     1.68207
           2     1.21836     1.40058
           2     1.24401     1.39215
           2     1.26966     1.19347
           2     1.29531     1.03239
           2     1.32096    0.913254
           2     1.34661    0.875232
           2     1.37226    0.849303
           2     1.39791    0.739043
           2     1.42355    0.754113
           2      1.4492    0.738598
           2     1.47485    0.703887
           2      1.5005    0.686089
           2     1.52615     0.68203
           2      1.5518    0.764645
           2     1.57745    0.709101
           2      1.6031    0.728508
           2     1.62875    0.766654
           2      1.6544    0.782686
           2     1.68005    0.778053
           2      1.7057    0.815551
           2     1.73135    0.792524
           2       1.757    0.840508
           2     1.78265    0.854687
           2      1.8083    0.934934
           2     1.83395    0.950815
           2      1.8596      0.9798
           2     1.88525     1.00949
           2      1.9109     1.01385
           2     1.93655     1.04155
           2      1.9622      1.1654
           2     1.98785     1.18441
           2      2.0135     1.14929
           2     2.03915     1.17911
           2      2.0648     1.18217
           2     2.09045     1.17651
           2      2.1161     1.20221
           2     2.14174     1.16732
           2     2.16739     1.15774
           2     2.19304      1.1471
           2     2.21869     1.12146
           2     2.24434     1.09996
           2     2.26999      1.0372
           2     2.29564     1.02818
           2     2.32129     1.01279
           2     2.34694    0.992595
           2     2.37259    0.936931
           2     2.39824    0.942469
           2     2.42389    0.939375
           2     2.44954    0.906998
           2     2.47519    0.878569
           2     2.50084    0.885213
           2     2.52649    0.875768
           2     2.55214    0.918234
           3   0.0128248           0
           3   0.0384745           0
           3   0.0641241           0
           3   0.0897737           0
           3    0.115423           0
           3    0.141073           0
           3    0.166723           0
           3    0.192372           0
           3    0.218022           0
           3    0.243672           0
           3    0.269321           0
           3    0.294971           0
           3     0.32062           0
           3     0.34627           0
           3     0.37192           0
           3    0.397569           0
           3    0.423219           0
           3    0.448869           0
           3    0.474518           0
           3    0.500168           0
           3    0.525818           0
           3    0.551467           0
           3    0.577117           0
           3    0.602767           0
           3    0.628416           0
           3    0.654066           0
           3    0.679715           0
           3    0.705365           0
           3    0.731015           0
           3    0.756664           0
           3    0.782314           0
           3    0.807964           0
           3    0.833613           0
           3    0.859263           0
           3    0.884913           0
           3    0.910562   0.0282932
           3    0.936212    0.170963
           3    0.961861    0.558865
