           1     1.38727     1.38727           0
           2      1.3873     1.38728 1.41614e-05
           3     1.38731     1.38729 1.28616e-05
           4     1.38733      1.3873 1.28879e-05
           5      1.3873      1.3873   9.983e-06
           6     1.38729      1.3873 8.31312e-06
           7     1.38726      1.3873 8.98463e-06
           8     1.38721     1.38728 1.29561e-05
           9     1.38714     1.38727 1.93794e-05
          10     1.38713     1.38726 2.21097e-05
          11     1.38713     1.38724 2.32309e-05
          12     1.38713     1.38723 2.30698e-05
          13     1.38719     1.38723 2.15091e-05
          14     1.38724     1.38723  1.9928e-05
          15     1.38728     1.38723 1.87827e-05
          16      1.3873     1.38724 1.80222e-05
          17      1.3873     1.38724 1.72736e-05
          18     1.38734     1.38725 1.71951e-05
          19     1.38734     1.38725 1.69982e-05
          20      1.3873     1.38725 1.62732e-05
          21     1.38727     1.38726 1.54913e-05
          22     1.38728     1.38726 1.47989e-05
          23     1.38725     1.38726 1.41415e-05
          24     1.38723     1.38726 1.35701e-05
          25     1.38719     1.38725 1.32695e-05
          26     1.38715     1.38725 1.33045e-05
          27     1.38715     1.38725  1.3289e-05
          28     1.38713     1.38724 1.34473e-05
          29     1.38711     1.38724 1.37643e-05
          30     1.38715     1.38723 1.36418e-05
          31     1.38716     1.38723 1.34267e-05
          32     1.38719     1.38723 1.30627e-05
          33     1.38723     1.38723 1.26608e-05
          34     1.38729     1.38723 1.23955e-05
          35     1.38731     1.38723 1.22258e-05
          36     1.38732     1.38724 1.21292e-05
          37     1.38731     1.38724 1.19776e-05
          38      1.3873     1.38724 1.17571e-05
          39     1.38729     1.38724 1.15271e-05
          40     1.38729     1.38724 1.13004e-05
          41     1.38728     1.38724 1.10673e-05
          42     1.38727     1.38724 1.08264e-05
          43     1.38727     1.38724 1.05836e-05
          44     1.38731     1.38725 1.04569e-05
          45     1.38729     1.38725 1.02619e-05
          46     1.38731     1.38725 1.01435e-05
          47     1.38733     1.38725 1.00737e-05
          48     1.38736     1.38725 1.01049e-05
          49     1.38738     1.38725  1.0235e-05
          50     1.38737     1.38726 1.02865e-05
