           1     1.80848     1.80848           0
           2      1.8322     1.82034   0.0118575
           3     1.84072     1.82713  0.00964409
           4     1.83432     1.82893   0.0070522
           5     1.81559     1.82626  0.00607927
           6     1.77463     1.81766  0.00993484
           7     1.76063     1.80951   0.0116997
           8      1.7788     1.80567   0.0108348
           9     1.81118     1.80628  0.00957498
          10      1.8282     1.80847  0.00884004
          11     1.84924     1.81218  0.00881324
          12     1.78513     1.80993  0.00835514
          13     1.78226      1.8078  0.00797491
          14     1.80333     1.80748  0.00739022
          15     1.82203     1.80845  0.00694793
          16      1.8357     1.81015  0.00671862
          17     1.79259     1.80912  0.00639508
          18       1.763     1.80656  0.00655118
          19     1.77452     1.80487   0.0064221
          20     1.78711     1.80398  0.00615694
          21     1.77342     1.80253  0.00603449
          22     1.76135     1.80066  0.00605046
          23     1.74991     1.79845  0.00618815
          24     1.75174      1.7965  0.00623616
          25      1.7451     1.79445  0.00632499
          26     1.74236     1.79244  0.00639851
          27     1.77479     1.79179  0.00619158
          28     1.81521     1.79263  0.00602468
          29     1.80859     1.79318  0.00583922
          30     1.79459     1.79322  0.00564142
          31     1.77951     1.79278  0.00547431
          32     1.76677     1.79197  0.00536242
          33      1.7939     1.79203  0.00519772
          34     1.82064     1.79287  0.00511229
          35     1.81274     1.79344  0.00499645
          36     1.81132     1.79393    0.004881
          37     1.78029     1.79356  0.00476155
          38     1.76204     1.79273  0.00470824
          39      1.7612     1.79193  0.00465665
          40     1.76117     1.79116  0.00460339
          41     1.76095     1.79042  0.00454976
          42     1.76736     1.78987  0.00447392
          43     1.74728     1.78888  0.00447952
          44     1.72421     1.78741  0.00461674
          45     1.74773     1.78653  0.00459831
          46     1.79269     1.78666  0.00449923
          47     1.81786     1.78733  0.00445221
          48     1.83784     1.78838   0.0044837
          49     1.84384     1.78951  0.00453476
          50     1.84927     1.79071   0.0046011
