0     18.2406
1     17.0195
2     17.2837
3     16.3445
4     17.7383
5     17.1744
6     18.4987
7     15.9739
8     17.3118
9     18.8403
10      18.215
11     18.5463
12     17.5297
13     19.8503
14     18.8337
15     17.8308
16     17.6904
17     18.1734
18     17.0274
19     16.5881
20     17.3275
21     19.0077
22     15.1667
23     17.4335
24     16.1016
25     15.0682
26     18.4392
27     17.0186
28     17.5305
29     14.4999
30     15.4992
31     16.7123
32     16.5053
33      16.187
34      13.643
35     14.6888
36     15.7928
37     13.0522
38     16.2782
39     12.7451
40     13.5589
41      13.903
42     12.8652
43     13.9962
44     13.0399
45     12.3148
46     11.1903
47     9.80624
48     10.3357
49     10.1201
50     11.4201
51     9.34959
52     9.93163
53     8.37527
54     7.39981
55     7.52442
56     7.42503
57     7.06211
58     6.56429
59     6.23502
60     5.90746
61     5.15487
62      4.9841
63     5.04285
64     5.24427
65     4.98272
66      5.4673
67     5.48477
68     5.17384
69       4.937
70     4.92782
71     4.90032
72     4.93854
73     4.92455
74     4.97675
75     4.93553
76     4.94359
77     4.85571
78     4.90116
79     4.81759
80     4.83446
81     4.81759
82     4.81759
83     4.81759
84     4.81759
85     4.81759
86     4.82242
87     4.81759
88     4.81759
89     4.81759
90     4.81759
91     4.81759
92     4.81759
93     4.81759
94     4.82242
95     4.82242
96     4.81759
97     4.81759
98     4.81759
99     4.81759
