#<I>1       err<I>  <I>2       err<I>2
1.06226  0  0.999305  0
0.980392  0.0818726  0.997648  0.00165704
1.0326  0.0704295  0.996848  0.00124691
0.998894  0.0601367  0.997575  0.00114248
1.00267  0.0467346  0.99795  0.000961345
1.00866  0.0386261  0.998526  0.000973169
1.00589  0.0327625  0.998732  0.000848063
1.00585  0.0283732  0.998942  0.000763865
0.995994  0.0268932  0.999232  0.00073339
0.988977  0.0250564  0.99949  0.000704951
0.990506  0.0227159  0.999649  0.000657045
0.986138  0.0211918  0.999807  0.00062028
0.985987  0.0194942  0.999649  0.000592041
0.986175  0.0180491  0.999639  0.000548219
0.989088  0.0170535  0.999659  0.000510776
0.983378  0.0169433  0.999294  0.000601209
0.983918  0.0159246  0.999084  0.000602652
0.985737  0.0151236  0.999164  0.000573785
0.985782  0.0143056  0.999321  0.000565095
0.988592  0.0138594  0.999228  0.000544093
0.990628  0.0133392  0.999316  0.000524875
0.992136  0.0128075  0.999386  0.000505416
0.993606  0.012326  0.99944  0.000485877
0.992936  0.0118203  0.999492  0.000468079
0.99106  0.0114918  0.999566  0.000455122
0.990955  0.0110414  0.999653  0.000445724
0.989079  0.010789  0.99956  0.000438903
0.988656  0.0104052  0.999563  0.000422952
0.98799  0.010062  0.99954  0.000408783
0.987856  0.00972177  0.999635  0.000406391
0.989081  0.00948235  0.999659  0.000393748
0.990118  0.00923962  0.999716  0.000385584
0.98775  0.00926299  0.999565  0.000403334
0.98994  0.00924954  0.99958  0.000391599
0.991172  0.00906539  0.999624  0.000382713
0.991558  0.00881846  0.999698  0.000379321
0.990083  0.00870275  0.999598  0.000382159
0.990577  0.00848502  0.99966  0.000377097
0.990878  0.00827008  0.999628  0.000368731
0.992105  0.0081535  0.999551  0.000367473
0.992278  0.00795403  0.999559  0.000358478
0.992282  0.00776234  0.999613  0.00035399
0.992522  0.00758349  0.999643  0.000346933
0.993491  0.00747223  0.999732  0.000350439
0.993865  0.00731383  0.999776  0.000345447
0.994179  0.00715995  0.999774  0.000337858
0.994736  0.00702808  0.999658  0.000350377
0.994885  0.00688173  0.99973  0.000350395
0.994263  0.00676853  0.999698  0.000344606
0.994708  0.00664672  0.999725  0.000338683
0.994475  0.00651926  0.99976  0.000333864
0.995301  0.00644585  0.999768  0.000327476
0.994671  0.00635436  0.999778  0.00032139
0.995537  0.00629545  0.999793  0.000315706
0.996206  0.00621604  0.999805  0.000310174
0.996387  0.00610669  0.99977  0.000306606
0.995295  0.00609723  0.999758  0.000301438
0.996398  0.00609185  0.99975  0.000296295
0.997141  0.00603369  0.999793  0.000294359
0.996606  0.00595637  0.999819  0.000290615
0.998228  0.00607824  0.999856  0.000288169
0.996842  0.00613784  0.999876  0.000284219
0.996764  0.00604014  0.999874  0.000279677
0.996815  0.00594523  0.999915  0.000278268
0.996217  0.00588347  0.999947  0.000275748
0.996227  0.00579365  0.999984  0.000274042
0.994381  0.00599767  0.999878  0.00028966
0.994588  0.00591246  0.999927  0.000289431
0.993951  0.00586083  0.999898  0.000286663
0.992195  0.00603754  0.999897  0.000282539
0.99197  0.00595615  0.999944  0.000282468
0.991883  0.00587349  0.999978  0.000280637
0.991575  0.00580065  0.999921  0.000282639
0.9931  0.0059215  0.999811  0.000299718
0.99325  0.00584393  0.999791  0.000296394
0.992574  0.00580597  0.999763  0.000293813
0.993754  0.00585032  0.999698  0.000297069
0.993042  0.00581865  0.999712  0.000293548
0.992269  0.00579623  0.999709  0.000289818
0.992013  0.00572903  0.999734  0.000287257
0.990844  0.00577744  0.999756  0.000284543
0.990379  0.00572547  0.999778  0.00028192
0.990755  0.00566859  0.999689  0.000292534
0.990917  0.00560302  0.999709  0.000289733
0.992088  0.00565927  0.99973  0.00028704
0.99209  0.00559308  0.99975  0.000284382
0.99242  0.00553824  0.999764  0.000281456
0.993416  0.00556479  0.999787  0.000279191
0.994062  0.00553975  0.999777  0.000276216
0.993776  0.00548529  0.999794  0.000273637
0.995212  0.00561135  0.999793  0.000270615
0.995992  0.00560464  0.999728  0.000275331
0.996467  0.00556435  0.999757  0.000273852
0.996517  0.00550507  0.999663  0.000286692
0.997253  0.00549627  0.999631  0.000285474
0.997581  0.0054486  0.999663  0.00028431
0.997496  0.00539279  0.999666  0.00028138
0.997946  0.00535636  0.999689  0.00027944
0.998376  0.00531938  0.999654  0.000278784
0.997939  0.00528403  0.999679  0.000277104
