0.5      -0.974253    0.000151474       0.328132     0.00133794     -0.0103701      0.0116165        79.1759       0.144367
0.53        -0.9636    0.000152462       0.376689    0.000838166      0.0100538     0.00853227        67.2341       0.141134
0.55      -0.955837    0.000164897       0.398267    0.000784766    -0.00572766     0.00714509        59.8909       0.144977
0.6      -0.935076    0.000152084       0.423316     0.00079823     -0.0009672     0.00480453        44.2152       0.113056
0.65      -0.913759    0.000131848       0.429643    0.000787295    -0.00185364     0.00330091        32.7926      0.0839162
0.7      -0.891992    0.000109959        0.43228    0.000650579    -0.00416676     0.00221629        24.6369      0.0611176
0.8      -0.848308    9.70007e-05       0.440214    0.000480105     0.00260128     0.00151541        15.2111      0.0328228
0.9      -0.804359    8.36388e-05        0.43623    0.000397933   -0.000355312     0.00107877        10.2587      0.0186252
1.0        -0.7616    6.99718e-05       0.420551    0.000289927    0.000283016    0.000598879        7.39891       0.010655
1.1      -0.720697    6.79825e-05       0.397579    0.000286209       0.000116    0.000525097        5.60305     0.00794205
1.2      -0.682123    6.07192e-05       0.371093    0.000234058      8.152e-06     0.00036562         4.4005     0.00528446
1.3      -0.646341    6.20354e-05       0.344719    0.000229151     0.00037654    0.000347332        3.57825      0.0038722
1.4      -0.613299    6.08362e-05       0.318413    0.000189727   -0.000261604    0.000291675        2.98134     0.00305254
1.5      -0.582732    6.20468e-05       0.293401    0.000156127   -0.000212272    0.000278321        2.52647     0.00222291
1.6      -0.554612    6.11425e-05       0.270513    0.000158017    0.000426884    0.000289079        2.18072     0.00183381
1.7      -0.528552    6.18386e-05       0.249216    0.000109697     -3.264e-06    0.000205656        1.90528     0.00138987
1.8      -0.504691    5.56243e-05       0.230049     0.00010908     0.00026282     0.00020201        1.68874     0.00121895
1.9      -0.482577    5.58387e-05       0.212429    0.000103845    -4.0532e-05    0.000208589        1.50807      0.0010482
2.0      -0.462116    5.12592e-05       0.196677     8.5713e-05   -0.000351244    0.000174775        1.36038    0.000935554
